idvanInterest,idvanOrder,order_subset_assigned,servicer_auth,txCreate
1,1,A,199,2017-04-18 05:06:00
2,2,A,97,2017-04-18 06:43:00
3,3,A,15,2017-04-18 06:59:00
4,5,A,211,2017-04-18 07:32:00
5,6,A,4,2017-04-18 07:45:00
6,7,A,101,2017-04-18 08:12:00
7,8,A,276,2017-04-18 08:30:00
8,9,A,216,2017-04-18 08:45:00
9,10,A,290,2017-04-18 09:09:00
10,10,B,252,2017-04-18 09:16:00
11,11,A,291,2017-04-18 09:23:00
12,12,A,84,2017-04-18 09:31:00
13,13,A,249,2017-04-18 09:33:00
14,14,A,8,2017-04-18 09:39:00
15,15,A,151,2017-04-18 09:45:00
16,16,A,150,2017-04-18 09:45:00
17,17,A,266,2017-04-18 09:47:00
18,18,A,46,2017-04-18 09:59:00
19,19,A,92,2017-04-18 10:03:00
20,20,A,55,2017-04-18 10:04:00
21,22,A,59,2017-04-18 10:05:00
22,23,A,125,2017-04-18 10:06:00
23,24,A,224,2017-04-18 10:07:00
24,26,A,186,2017-04-18 10:07:00
25,21,A,42,2017-04-18 10:07:00
26,27,A,180,2017-04-18 10:08:00
27,25,A,113,2017-04-18 10:08:00
28,28,A,160,2017-04-18 10:09:00
29,30,A,57,2017-04-18 10:13:00
30,31,A,262,2017-04-18 10:14:00
31,32,A,103,2017-04-18 10:14:00
32,33,A,149,2017-04-18 10:22:00
33,34,A,72,2017-04-18 10:23:00
34,36,A,100,2017-04-18 10:33:00
35,35,A,217,2017-04-18 10:33:00
36,38,A,46,2017-04-18 10:36:00
37,39,A,235,2017-04-18 10:38:00
38,40,A,243,2017-04-18 10:40:00
39,37,A,54,2017-04-18 10:42:00
40,42,A,196,2017-04-18 10:47:00
41,41,A,58,2017-04-18 10:51:00
42,44,A,94,2017-04-18 10:53:00
43,45,A,123,2017-04-18 10:54:00
44,46,A,3,2017-04-18 10:55:00
45,43,A,258,2017-04-18 10:57:00
46,47,A,240,2017-04-18 10:58:00
47,48,A,99,2017-04-18 11:00:00
48,49,A,202,2017-04-18 11:00:00
49,22,B,59,2017-04-18 11:01:00
50,50,A,118,2017-04-18 11:06:00
51,51,A,33,2017-04-18 11:10:00
52,52,A,111,2017-04-18 11:11:00
53,53,A,76,2017-04-18 11:14:00
54,57,A,177,2017-04-18 11:18:00
55,54,A,34,2017-04-18 11:21:00
56,63,A,171,2017-04-18 11:22:00
57,62,A,24,2017-04-18 11:23:00
58,64,A,247,2017-04-18 11:25:00
59,66,A,242,2017-04-18 11:29:00
60,65,A,25,2017-04-18 11:29:00
61,67,A,224,2017-04-18 11:29:00
62,68,A,157,2017-04-18 11:29:00
63,69,A,86,2017-04-18 11:32:00
64,70,A,5,2017-04-18 11:35:00
65,71,A,191,2017-04-18 11:39:00
66,72,A,172,2017-04-18 11:40:00
67,73,A,16,2017-04-18 11:41:00
68,74,A,163,2017-04-18 11:42:00
69,61,A,277,2017-04-18 11:49:00
70,59,A,282,2017-04-18 11:49:00
71,55,A,280,2017-04-18 11:49:00
72,56,A,281,2017-04-18 11:49:00
73,75,A,26,2017-04-18 11:50:00
74,76,A,104,2017-04-18 11:52:00
75,77,A,63,2017-04-18 11:54:00
76,78,A,141,2017-04-18 11:57:00
77,79,A,49,2017-04-18 11:59:00
78,65,B,25,2017-04-18 11:59:00
79,80,A,77,2017-04-18 12:04:00
80,82,A,212,2017-04-18 12:11:00
81,66,B,242,2017-04-18 12:12:00
82,83,A,22,2017-04-18 12:14:00
83,86,A,226,2017-04-18 12:16:00
84,87,A,31,2017-04-18 12:18:00
85,85,A,48,2017-04-18 12:19:00
86,88,A,187,2017-04-18 12:19:00
87,84,A,297,2017-04-18 12:19:00
88,81,A,139,2017-04-18 12:19:00
89,90,A,214,2017-04-18 12:23:00
90,91,A,194,2017-04-18 12:24:00
91,89,A,39,2017-04-18 12:24:00
92,93,A,107,2017-04-18 12:30:00
93,94,A,170,2017-04-18 12:33:00
94,95,A,269,2017-04-18 12:36:00
95,96,A,208,2017-04-18 12:39:00
96,97,A,108,2017-04-18 12:40:00
97,98,A,70,2017-04-18 12:40:00
98,99,A,109,2017-04-18 12:43:00
99,100,A,166,2017-04-18 12:46:00
100,101,A,105,2017-04-18 12:54:00
101,102,A,168,2017-04-18 12:57:00
102,103,A,207,2017-04-18 12:57:00
103,105,A,106,2017-04-18 12:58:00
104,104,A,92,2017-04-18 12:58:00
105,106,A,91,2017-04-18 13:00:00
106,107,A,43,2017-04-18 13:01:00
107,108,A,51,2017-04-18 13:02:00
108,109,A,233,2017-04-18 13:06:00
109,111,A,155,2017-04-18 13:08:00
110,112,A,88,2017-04-18 13:12:00
111,113,A,183,2017-04-18 13:12:00
112,114,A,127,2017-04-18 13:12:00
113,110,A,146,2017-04-18 13:12:00
114,115,A,56,2017-04-18 13:17:00
115,116,A,246,2017-04-18 13:19:00
116,117,A,284,2017-04-18 13:20:00
117,118,A,159,2017-04-18 13:23:00
118,119,A,165,2017-04-18 13:25:00
119,117,B,64,2017-04-18 13:26:00
120,120,A,265,2017-04-18 13:27:00
121,121,A,144,2017-04-18 13:28:00
122,122,A,192,2017-04-18 13:31:00
123,123,A,234,2017-04-18 13:34:00
124,124,A,78,2017-04-18 13:36:00
125,118,B,159,2017-04-18 13:38:00
126,125,A,44,2017-04-18 13:41:00
127,126,A,220,2017-04-18 13:41:00
128,127,A,61,2017-04-18 13:43:00
129,128,A,184,2017-04-18 13:43:00
130,130,A,152,2017-04-18 13:47:00
131,129,A,270,2017-04-18 13:47:00
132,132,A,204,2017-04-18 13:47:00
133,131,A,74,2017-04-18 13:47:00
134,133,A,181,2017-04-18 13:48:00
135,134,A,162,2017-04-18 13:51:00
136,135,A,19,2017-04-18 13:53:00
137,136,A,121,2017-04-18 13:53:00
138,137,A,126,2017-04-18 13:53:00
139,139,A,138,2017-04-18 13:58:00
140,140,A,38,2017-04-18 14:00:00
141,141,A,6,2017-04-18 14:08:00
142,138,A,227,2017-04-18 14:09:00
143,142,A,257,2017-04-18 14:16:00
144,144,A,190,2017-04-18 14:19:00
145,145,A,60,2017-04-18 14:22:00
146,146,A,253,2017-04-18 14:22:00
147,148,A,143,2017-04-18 14:24:00
148,147,A,173,2017-04-18 14:25:00
149,143,A,65,2017-04-18 14:26:00
150,149,A,157,2017-04-18 14:26:00
151,150,A,65,2017-04-18 14:30:00
152,151,A,79,2017-04-18 14:31:00
153,153,A,10,2017-04-18 14:31:00
154,156,A,166,2017-04-18 14:37:00
155,155,A,17,2017-04-18 14:39:00
156,157,A,114,2017-04-18 14:41:00
157,158,A,245,2017-04-18 14:42:00
158,159,A,285,2017-04-18 14:47:00
159,161,A,294,2017-04-18 14:49:00
160,154,A,65,2017-04-18 14:50:00
161,152,A,65,2017-04-18 14:50:00
162,160,A,61,2017-04-18 14:52:00
163,162,A,241,2017-04-18 14:52:00
164,163,A,244,2017-04-18 14:53:00
165,164,A,145,2017-04-18 15:01:00
166,165,A,206,2017-04-18 15:03:00
167,166,A,256,2017-04-18 15:07:00
168,167,A,218,2017-04-18 15:09:00
169,168,A,182,2017-04-18 15:12:00
170,169,A,264,2017-04-18 15:13:00
171,170,A,123,2017-04-18 15:14:00
172,174,A,273,2017-04-18 15:22:00
173,175,A,146,2017-04-18 15:27:00
174,176,A,27,2017-04-18 15:32:00
175,173,A,274,2017-04-18 15:32:00
176,177,A,233,2017-04-18 15:33:00
177,178,A,75,2017-04-18 15:34:00
178,89,B,39,2017-04-18 15:35:00
179,179,A,213,2017-04-18 15:38:00
180,180,A,223,2017-04-18 15:40:00
181,181,A,8,2017-04-18 15:43:00
182,182,A,120,2017-04-18 15:43:00
183,184,A,287,2017-04-18 15:44:00
184,185,A,140,2017-04-18 15:44:00
185,183,A,110,2017-04-18 15:44:00
186,171,A,271,2017-04-18 15:45:00
187,172,A,279,2017-04-18 15:46:00
188,186,A,286,2017-04-18 15:49:00
189,187,A,193,2017-04-18 15:55:00
190,188,A,119,2017-04-18 15:55:00
191,190,A,197,2017-04-18 15:57:00
192,191,A,129,2017-04-18 16:00:00
193,193,A,178,2017-04-18 16:04:00
194,194,A,260,2017-04-18 16:06:00
195,196,A,239,2017-04-18 16:07:00
196,197,A,179,2017-04-18 16:08:00
197,199,A,51,2017-04-18 16:15:00
198,200,A,80,2017-04-18 16:20:00
199,201,A,275,2017-04-18 16:20:00
200,202,A,222,2017-04-18 16:21:00
201,203,A,169,2017-04-18 16:21:00
202,204,A,35,2017-04-18 16:24:00
203,206,A,229,2017-04-18 16:24:00
204,207,A,236,2017-04-18 16:25:00
205,209,A,44,2017-04-18 16:25:00
206,208,A,254,2017-04-18 16:26:00
207,210,A,82,2017-04-18 16:26:00
208,213,A,156,2017-04-18 16:27:00
209,211,A,40,2017-04-18 16:27:00
210,214,A,209,2017-04-18 16:28:00
211,188,B,119,2017-04-18 16:28:00
212,215,A,174,2017-04-18 16:29:00
213,216,A,1,2017-04-18 16:36:00
214,217,A,231,2017-04-18 16:36:00
215,218,A,268,2017-04-18 16:37:00
216,219,A,7,2017-04-18 16:40:00
217,220,A,116,2017-04-18 16:42:00
218,210,B,82,2017-04-18 16:43:00
219,221,A,263,2017-04-18 16:44:00
220,222,A,164,2017-04-18 16:45:00
221,224,A,295,2017-04-18 16:47:00
222,223,A,188,2017-04-18 16:47:00
223,225,A,135,2017-04-18 16:48:00
224,226,A,237,2017-04-18 16:52:00
225,227,A,296,2017-04-18 16:54:00
226,228,A,115,2017-04-18 16:55:00
227,229,A,88,2017-04-18 16:58:00
228,231,A,32,2017-04-18 17:00:00
229,232,A,117,2017-04-18 17:02:00
230,233,A,238,2017-04-18 17:05:00
231,235,A,28,2017-04-18 17:11:00
232,234,A,28,2017-04-18 17:11:00
233,236,A,278,2017-04-18 17:14:00
234,237,A,267,2017-04-18 17:17:00
235,238,A,20,2017-04-18 17:20:00
236,239,A,133,2017-04-18 17:23:00
237,241,A,255,2017-04-18 17:25:00
238,242,A,96,2017-04-18 17:26:00
239,243,A,228,2017-04-18 17:40:00
240,244,A,12,2017-04-18 17:46:00
241,245,A,154,2017-04-18 17:52:00
242,246,A,189,2017-04-18 17:53:00
243,247,A,219,2017-04-18 17:58:00
244,248,A,131,2017-04-18 18:01:00
245,249,A,232,2017-04-18 18:02:00
246,250,A,202,2017-04-18 18:03:00
247,251,A,81,2017-04-18 18:04:00
248,252,A,12,2017-04-18 18:11:00
249,253,A,12,2017-04-18 18:12:00
250,254,A,185,2017-04-18 18:12:00
251,255,A,71,2017-04-18 18:14:00
252,256,A,136,2017-04-18 18:15:00
253,257,A,129,2017-04-18 18:17:00
254,258,A,132,2017-04-18 18:25:00
255,259,A,272,2017-04-18 18:27:00
256,260,A,153,2017-04-18 18:37:00
257,261,A,201,2017-04-18 18:44:00
258,263,A,85,2017-04-18 18:49:00
259,265,A,205,2017-04-18 18:50:00
260,264,A,83,2017-04-18 18:51:00
261,266,A,73,2017-04-18 18:51:00
262,267,A,221,2017-04-18 18:59:00
263,269,A,69,2017-04-18 19:04:00
264,268,A,11,2017-04-18 19:04:00
265,270,A,259,2017-04-18 19:08:00
266,271,A,17,2017-04-18 19:14:00
267,272,A,184,2017-04-18 19:21:00
268,273,A,229,2017-04-18 19:23:00
269,274,A,86,2017-04-18 19:29:00
270,262,A,112,2017-04-18 19:33:00
271,275,A,200,2017-04-18 19:33:00
272,276,A,95,2017-04-18 19:40:00
273,277,A,292,2017-04-18 19:44:00
274,278,A,50,2017-04-18 19:48:00
275,279,A,210,2017-04-18 19:49:00
276,277,B,2,2017-04-18 19:50:00
277,280,A,128,2017-04-18 19:52:00
278,281,A,22,2017-04-18 19:57:00
279,282,A,198,2017-04-18 20:04:00
280,283,A,37,2017-04-18 20:09:00
281,284,A,141,2017-04-18 20:11:00
282,285,A,137,2017-04-18 20:19:00
283,286,A,248,2017-04-18 20:35:00
284,287,A,175,2017-04-18 20:55:00
285,289,A,251,2017-04-18 21:12:00
286,290,A,97,2017-04-18 21:19:00
287,291,A,102,2017-04-18 21:24:00
288,292,A,148,2017-04-18 21:29:00
289,293,A,28,2017-04-18 21:44:00
290,294,A,288,2017-04-18 22:06:00
291,295,A,215,2017-04-18 22:07:00
292,296,A,289,2017-04-18 22:09:00
293,297,A,250,2017-04-18 22:19:00
294,298,A,53,2017-04-18 22:49:00
295,299,A,21,2017-04-18 23:01:00
296,300,A,293,2017-04-18 23:16:00
297,224,B,122,2017-04-19 08:56:00
